ID,Visual_Type,Environment,Hook,Mechanism,Proof,Variation_Count,Photo_Path
1,Candid Balcony/Street,Outdoor/High-rise,"Most people overcomplicate the front-end...","We just stripped down the funnel to 2 steps. Content -> DM.","Result: 3 new clients onboarded before lunch. Simplicity scales.",3,
2,Deep Work (Laptop POV),Coffee Shop/Home Office,"Quality content isn't about high production...","It's about high-resonance. Speaking directly to the pain point.","Result: 1 simple story generated 12 high-intent DMs in 2 hours.",5,
3,Collaborative Meeting,Office/Cafe,"You don't need a massive team to scale...","You need a lean 'Stitcher' system that connects the dots.","Result: Monthly output increased by 400% with the same headcount.",4,
4,Walking Selfie (Candid),Street/Public Space,"The best ideas don't happen at a desk...","They happen when you're moving and observing real patterns.","Result: 5 viral hooks generated while walking to lunch today.",3,
5,Stripe/Dashboard Screenshot,Digital,"Consistency is a myth for beginners...","Sustainability is the goal for professionals. Systems > Effort.","Result: Revenue stayed stable while I took 4 days off.",6,
6,Notebook/Brainstorm POV,Quiet Space,"Strategy is just the art of saying 'No'...","We cut 80% of the tasks that weren't moving the needle.","Result: Focused on the 20% that drives 80% of the cash flow.",4,
7,Group Photo (Team),Casual Outdoor,"Culture is your most profitable asset...","Aligning every agent to a single WAT framework mission.","Result: Zero friction in the delivery pipeline this week.",2,
8,Cafe (Coffee + Laptop),Public Workspace,"The 'Laptop Lifestyle' is actually quite boring...","It's just 4 hours of deep focus followed by 20 hours of life.","Result: Project 'X' finished 3 days ahead of schedule.",5,
9,Balcony (Sunset/Cloudy),Outdoor,"Wait for the perfect timing and you'll never start...","Perfect the timing through the process of starting.","Result: 50 pieces of content live this month. Zero delays.",3,
10,POV Close-up (Phone/DM),Digital,"DMs aren't for selling...","DMs are for sorting and qualifying for the right fit.","Result: Closing rate jumped from 15% to 45% using this sorting logic.",6,
